sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
blankswab.1	11	10	90.91	9	9	81.82	9	81.82
blankswab.2	14	12	85.71	12	12	85.71	12	85.71
blankswab.3	0	0	0	0	0	0	0	0
DNAfreewater.1	109	97	88.99	91	89	81.65	89	81.65
DNAfreewater.2	36	34	94.44	32	32	88.89	32	88.89
DNAfreewater.3	0	0	0	0	0	0	0	0
EBLANK.MB1	1416	1243	87.78	1243	1243	87.78	1243	87.78
EBLANK.MB2	489	413	84.46	409	409	83.64	409	83.64
EBLANK.MB3	669	519	77.58	518	518	77.43	518	77.43
EBLANK001	721	641	88.9	628	572	79.33	572	79.33
EBLANK002	1595	1399	87.71	1398	1395	87.46	1395	87.46
EBLANK003	1303	1148	88.1	1144	1144	87.8	1144	87.8
EBLANK004	859	742	86.38	737	737	85.8	737	85.8
EBLANK006	2341	2053	87.7	2053	2050	87.57	2012	85.95
EBLANK007	1091	914	83.78	908	908	83.23	908	83.23
EBLANK008	961	862	89.7	861	860	89.49	860	89.49
EBLANK009	787	673	85.51	673	673	85.51	655	83.23
EBLANK011	753	670	88.98	667	665	88.31	665	88.31
EBLANK013	1142	1012	88.62	1011	1011	88.53	1011	88.53
emptywell.1	0	0	0	0	0	0	0	0
emptywell.2	1	0	0	0	0	0	0	0
emptywell.3	0	0	0	0	0	0	0	0
MASK001.V1.MASK	22687	21031	92.7	20670	19222	84.73	18256	80.47
MASK001.V1.SKIN	35991	33118	92.02	32858	31924	88.7	29716	82.57
MASK001.v1.throat	114368	105055	91.86	103104	88375	77.27	54648	47.78
MASK001.V2.MASK	11776	10843	92.08	10840	10766	91.42	10650	90.44
MASK001.V2.SKIN	42360	38650	91.24	38299	37046	87.46	32336	76.34
MASK001.v2.throat	41049	38053	92.7	37333	32067	78.12	21252	51.77
MASK001.V3.MASK	31337	29274	93.42	28606	25457	81.24	21204	67.66
MASK001.V3.SKIN	32859	30543	92.95	30415	30043	91.43	29333	89.27
MASK001.v3.throat	31334	28863	92.11	28057	24210	77.26	17135	54.69
MASK002.V1.MASK	31793	29629	93.19	29551	29333	92.26	29186	91.8
MASK002.V1.SKIN	37297	34691	93.01	34555	33708	90.38	29683	79.59
MASK002.v1.throat	135996	125461	92.25	123526	103179	75.87	58576	43.07
MASK002.V2.SKIN	37296	34319	92.02	33957	31586	84.69	24121	64.67
MASK002.v2.throat	84132	76901	91.41	74761	64417	76.57	53579	63.68
MASK002.v2.throat.B	60658	55238	91.06	53479	41348	68.17	25671	42.32
MASK002.V3.MASK	35898	33332	92.85	32981	30627	85.32	28043	78.12
MASK002.V3.SKIN	36437	32085	88.06	31942	28853	79.19	22356	61.36
MASK002.v3.throat	68147	62902	92.3	61101	48947	71.83	29882	43.85
MASK003.V1.MASK	28437	26525	93.28	26499	26405	92.85	26401	92.84
MASK003.V1.SKIN	33595	31502	93.77	31181	30044	89.43	29316	87.26
MASK003.v1.throat	38520	35563	92.32	34497	27628	71.72	18037	46.83
MASK003.V2.MASK	13359	12502	93.58	12500	12434	93.08	12434	93.08
MASK003.V2.SKIN	36893	34584	93.74	34074	32012	86.77	29991	81.29
MASK003.V2.SKIN.B	36656	34306	93.59	33719	31319	85.44	28145	76.78
MASK003.v2.throat	79546	73285	92.13	71734	60065	75.51	38149	47.96
MASK003.V3.MASK	30312	28326	93.45	28010	26806	88.43	26075	86.02
MASK003.v3.throat	66433	61360	92.36	59932	50274	75.68	32474	48.88
MASK004.V1.MASK	28295	26219	92.66	26045	25420	89.84	25263	89.28
MASK004.V1.SKIN	34734	32219	92.76	32102	31560	90.86	27412	78.92
MASK004.v1.throat	129141	119113	92.23	117183	103616	80.23	67374	52.17
