sample,d__Archaea,d__Bacteria
blankswab.1,0,9
blankswab.2,0,12
DNAfreewater.1,0,89
DNAfreewater.2,0,32
EBLANK.MB1,13,1230
EBLANK.MB2,0,409
EBLANK.MB3,6,512
EBLANK001,0,572
EBLANK002,0,1395
EBLANK003,0,1144
EBLANK004,0,737
EBLANK006,0,2012
EBLANK007,0,908
EBLANK008,0,860
EBLANK009,0,655
EBLANK011,0,665
EBLANK013,0,1011
MASK001.V1.MASK,0,18256
MASK001.V1.SKIN,0,29716
MASK001.v1.throat,0,54648
MASK001.V2.MASK,38,10612
MASK001.V2.SKIN,0,32336
MASK001.v2.throat,0,21252
MASK001.V3.MASK,0,21204
MASK001.V3.SKIN,0,29333
MASK001.v3.throat,0,17135
MASK002.V1.MASK,0,29186
MASK002.V1.SKIN,0,29683
MASK002.v1.throat,0,58576
MASK002.V2.SKIN,0,24121
MASK002.v2.throat,0,53579
MASK002.v2.throat.B,0,25671
MASK002.V3.MASK,0,28043
MASK002.V3.SKIN,0,22356
MASK002.v3.throat,0,29882
MASK003.V1.MASK,0,26401
MASK003.V1.SKIN,0,29316
MASK003.v1.throat,0,18037
MASK003.V2.MASK,29,12405
MASK003.V2.SKIN,0,29991
MASK003.V2.SKIN.B,0,28145
MASK003.v2.throat,0,38149
MASK003.V3.MASK,0,26075
MASK003.v3.throat,0,32474
MASK004.V1.MASK,3,25260
MASK004.V1.SKIN,0,27412
MASK004.v1.throat,0,67374
MASK004.V2.SKIN,0,30550
MASK004.V2.SKIN.B,0,812
MASK004.v2.throat,0,50433
MASK004.v2.throat.B,0,19696
MASK004.V3.MASK,0,24179
MASK004.V3.SKIN,0,31233
MASK004.v3.throat,0,47881
MASK005.V1.MASK,22,8687
MASK005.V1.SKIN,0,30493
MASK005.v1.throat,0,19938
MASK005.V2.MASK,0,24658
MASK005.V2.SKIN,0,27846
MASK005.V2.SKIN.B,0,37044
MASK005.v2.throat,0,21975
MASK005.V3.MASK,0,23459
MASK005.v3.throat,0,22811
MASK006.V1.MASK,10,23566
MASK006.V1.SKIN,0,28009
MASK006.v1.throat,0,21974
MASK006.V2.MASK,0,26739
MASK006.V2.SKIN,0,29839
MASK006.v2.throat,0,46127
MASK006.V3.MASK,0,22217
MASK006.V3.SKIN,0,29106
MASK006.v3.throat,0,127283
MASK007.V1.MASK,0,30429
MASK007.V1.SKIN,0,30099
MASK007.v1.throat,0,74256
MASK007.V2.SKIN,0,31749
MASK007.v2.throat,0,18034
MASK007.V3.MASK,0,20366
MASK007.V3.SKIN,0,32001
MASK007.v3.throat,0,17433
MASK008.V1.MASK,0,808
MASK008.V1.SKIN,0,38093
MASK008.v1.throat,0,21461
MASK008.V2.MASK,0,3407
MASK008.V2.SKIN,0,30171
MASK008.V3.MASK,0,26983
MASK008.V3.SKIN,0,32932
MASK008.v3.throat,0,81552
MASK009.V1.MASK,0,22915
MASK009.V1.SKIN,0,24641
MASK009.v1.throat,0,17463
MASK009.V2.SKIN,0,26617
MASK009.v2.throat,0,24692
MASK009.V3.MASK,0,22830
MASK009.V3.SKIN,0,25865
MASK009.v3.throat,0,37906
MASK010.V1.MASK,0,24921
MASK010.V1.SKIN,0,26851
MASK010.v1.throat,0,47166
MASK010.V2.MASK,11,22660
MASK010.V2.SKIN,0,33538
MASK010.v2.throat,0,24094
MASK010.V3.MASK,0,20823
MASK010.V3.SKIN,0,24286
MASK010.v3.throat,0,72508
MASK011.V1.MASK,0,29369
MASK011.V1.SKIN,0,28198
MASK011.v1.throat,0,17611
MASK011.V2.MASK,22,1534
MASK011.V2.SKIN,0,32125
MASK011.V2.SKIN.B,0,32701
MASK011.v2.throat,0,86903
MASK011.V3.MASK,0,24894
MASK011.v3.throat,0,24596
MASK012.V1.MASK,7,25758
MASK012.V1.SKIN,0,31422
MASK012.V2.SKIN,0,31582
MASK012.v2.throat,0,18783
MASK012.V3.MASK,0,22903
MASK012.V3.SKIN,0,46744
MASK012.v3.throat,0,24114
MASK012.v3.throat.B,0,83487
MASK013.V1.MASK,0,771
MASK013.V1.SKIN,0,33021
MASK013.v1.throat,0,22593
MASK013.V2.MASK,20,2615
MASK013.V2.SKIN,0,32882
MASK013.v2.throat,0,19974
MASK013.V3.MASK,0,20342
MASK013.V3.SKIN,0,33517
MASK013.v3.throat,0,21781
MASK014.V1.MASK,15,28964
MASK014.V1.SKIN,0,38564
MASK014.V1.SKIN.B,0,50176
MASK014.v1.throat,0,19302
MASK014.v2.throat,0,21910
MASK014.V3.MASK,0,27225
MASK014.V3.SKIN,0,38025
MASK014.v3.throat,0,55709
MASK015.V1.MASK,68,3837
MASK015.V1.SKIN,0,36688
MASK015.v1.throat,0,22892
MASK015.V2.MASK,28,2463
MASK015.V2.SKIN,0,34098
MASK015.v2.throat,0,65374
MASK015.V3.MASK,0,27622
MASK015.V3.SKIN,0,37183
MASK015.v3.throat,0,39037
MASK016.V1.MASK,0,1054
MASK016.V1.SKIN,0,30134
MASK016.v1.throat,0,69606
MASK016.V2.SKIN,0,24681
MASK016.v2.throat,0,19193
MASK016.V3.MASK,0,24646
MASK016.V3.SKIN,0,30812
MASK016.v3.throat,0,18774
MASK017.V1.MASK,0,28168
MASK017.V1.SKIN,0,26180
MASK017.v1.throat,0,58899
MASK017.V2.MASK,7,24271
MASK017.V2.SKIN,0,27541
MASK017.v2.throat,0,22346
MASK017.V3.MASK,0,15795
MASK017.V3.SKIN,0,25558
MASK017.v3.throat,0,19998
MASK018.V1.MASK,0,28576
MASK018.V1.SKIN,0,25543
MASK018.v1.throat,0,47181
MASK018.V2.SKIN,0,34492
MASK018.v2.throat,0,58847
MASK018.V3.MASK,0,30078
MASK018.V3.SKIN,0,27423
MASK018.v3.throat,0,114035
MASK019.V1.MASK,14,2010
MASK019.V1.SKIN,0,31892
MASK019.v1.throat,0,22503
MASK019.V2.MASK,3,770
MASK019.V2.SKIN,0,29478
MASK019.v2.throat,0,107991
MASK019.V3.MASK,39,11467
MASK019.V3.SKIN,0,29578
MASK019.v3.throat,0,47281
MASK020.V1.MASK,9,1358
MASK020.V1.SKIN,0,32621
MASK020.v1.throat,0,68473
MASK020.V2.SKIN,0,28244
MASK020.v2.throat,0,48743
MASK020.V3.MASK,0,21127
MASK020.V3.SKIN,0,22650
MASK020.v3.throat,0,33062
MASKBLANK1,0,264
MASKBLANK2,0,489
MASKBLANK3,5,729
mockdna.1,243,0
mockdna.2,4048,0
mockdna.3,3254,0
POS.MASK,0,22447
SBLANK001.throat,0,3166
SBLANK002.throat,0,1747
SBLANK003.throat,0,2744
SKINBLANK.001,0,986
SKINBLANK.002,0,30171
SKINBLANK.003,0,1586
SKINBLANK004,0,1554
