sample, p__Patescibacteria, p__Firmicutes, p__Halobacterota, p__Bacteroidota,d__Bacteria_unassigned, p__Abditibacteriota, p__Campilobacterota, p__Gemmatimonadota, p__Acidobacteriota, p__Entotheonellaeota, p__Actinobacteriota, p__Myxococcota, p__NB1-j, p__Fusobacteriota, p__Spirochaetota, p__Methylomirabilota, p__Cyanobacteria, p__Verrucomicrobiota, p__Planctomycetota, p__Synergistota, p__Dependentiae, p__Bdellovibrionota, p__Chloroflexi, p__Armatimonadota, p__Deinococcota, p__Aenigmarchaeota, p__Euryarchaeota, p__Desulfobacterota, p__MBNT15, p__Asgardarchaeota, p__Proteobacteria, p__Thermoplasmatota
blankswab.1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
blankswab.2,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
DNAfreewater.1,0,15,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
DNAfreewater.2,0,6,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
EBLANK.MB1,0,301,13,0,0,0,0,0,0,0,624,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0
EBLANK.MB2,0,10,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0
EBLANK.MB3,0,167,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,67,0
EBLANK001,0,136,0,17,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,9,0,0,11,0,0,0,0,0,84,0
EBLANK002,0,283,0,0,0,0,0,0,0,0,871,0,0,0,0,0,28,4,0,0,0,12,0,0,0,0,0,0,0,0,197,0
EBLANK003,0,280,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0
EBLANK004,0,114,0,6,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0
EBLANK006,0,586,0,0,0,34,0,0,0,0,1135,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0
EBLANK007,0,136,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,141,0
EBLANK008,0,342,0,13,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0
EBLANK009,0,210,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
EBLANK011,0,153,0,0,0,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0
EBLANK013,0,279,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0
MASK001.V1.MASK,4,7067,0,685,0,0,6,0,0,0,6343,0,0,443,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3660,0
MASK001.V1.SKIN,0,10477,0,62,4,0,0,0,0,0,18589,0,0,44,0,0,20,0,0,0,0,0,0,0,7,0,0,0,0,0,513,0
