sample, c__Gammaproteobacteria, p__Chloroflexi_unassigned, c__MBNT15, c__Deep_Sea_Euryarchaeotic_Group(DSEG), c__TK10, c__Gracilibacteria, c__Synergistia, c__Methylomirabilia, c__Entotheonellia, c__NB1-j, c__Vicinamibacteria, c__Saccharimonadia, c__MB-A2-108, c__Cyanobacteriia,d__Bacteria_unassigned, p__Firmicutes_unassigned, c__Polyangia, c__Holophagae, c__Vampirivibrionia, c__Chloroflexia, c__Verrucomicrobiae, c__Thermoplasmata, c__Alphaproteobacteria, c__Parcubacteria, c__Oligoflexia, c__Desulfuromonadia, c__Ktedonobacteria, c__Spirochaetia, c__Rubrobacteria, c__Planctomycetes, c__Bacteroidia, c__Longimicrobia, c__Bdellovibrionia, c__Thermococci, c__Negativicutes, c__Anaerolineae, c__Babeliae, c__Fusobacteriia, c__Armatimonadia, c__Bacilli, p__Actinobacteriota_unassigned, c__Coriobacteriia, p__Armatimonadota_unassigned, c__Rhodothermia, c__Omnitrophia, c__Thermoleophilia, c__Abditibacteria, c__Acidobacteriae, c__Asgardarchaeota, c__Halobacteria, c__Acidimicrobiia, c__Thermaerobacteria, c__Desulfobulbia, c__Myxococcia, c__Aenigmarchaeia, c__Phycisphaerae, c__Deinococci, p__Proteobacteria_unassigned, c__Campylobacteria, c__Clostridia, c__Gemmatimonadetes, c__Actinobacteria, c__Blastocatellia
blankswab.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
blankswab.2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
DNAfreewater.1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
DNAfreewater.2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
EBLANK.MB1,223,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,40,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,439,0
EBLANK.MB2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,0
EBLANK.MB3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,235,0
EBLANK001,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,36,0,17,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,279,0
EBLANK002,163,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,34,0,12,0,0,0,196,0,0,0,0,0,0,0,0,0,0,283,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,0
EBLANK003,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,0
EBLANK004,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,123,0,6,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,0
EBLANK006,221,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,17,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,41,0,0,0,0,545,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0
EBLANK007,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,62,0,0,0,17,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552,0
EBLANK008,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,52,0,13,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,0
EBLANK009,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0
EBLANK011,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0
EBLANK013,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0
MASK001.V1.MASK,3623,0,0,0,0,0,0,0,0,0,0,4,0,48,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,685,0,0,0,325,0,0,443,0,6653,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,89,0,6334,0
MASK001.V1.SKIN,468,0,0,0,0,0,0,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,62,0,0,0,30,0,0,44,0,10131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,316,0,18589,0
MASK001.v1.throat,1429,0,0,0,0,0,0,0,0,0,0,39,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7098,0,0,0,9306,0,0,2293,0,26192,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,1795,0,5937,0
MASK001.V2.MASK,428,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,0,63,0,0,0,0,0,328,0,49,0,0,0,133,0,0,5,0,4371,0,6,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,49,0,5038,0
MASK001.V2.SKIN,8,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,18320,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,762,0,13179,0
MASK001.v2.throat,49,0,0,0,0,0,0,0,0,0,0,3,0,9,3,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,653,0,0,0,4218,0,0,324,0,13812,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,343,0,1628,0
MASK001.V3.MASK,3279,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4044,0,0,0,1697,0,0,387,0,8853,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,126,0,2683,0
MASK001.V3.SKIN,149,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,132,0,0,0,0,0,4,0,33,0,0,0,37,0,0,8,0,3390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,830,0,24715,0
MASK001.v3.throat,137,0,0,0,0,0,0,0,0,0,0,13,0,2,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4280,0,0,0,2909,0,0,112,0,7198,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,1156,0,966,0
MASK002.V1.MASK,58,0,0,0,0,0,0,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,15,0,0,0,0,0,32,0,27,0,0,0,9,0,0,0,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,28517,0
MASK002.V1.SKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28064,0
MASK002.v1.throat,10009,0,0,0,0,0,0,0,0,0,0,25,0,0,14,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2924,0,0,0,13042,0,0,2099,0,25275,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,525,0,4572,0
MASK002.V2.SKIN,471,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,0,25,0,0,22,0,3734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19837,0
MASK002.v2.throat,3697,0,0,0,0,39,7,0,0,0,0,412,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,5492,0,0,0,3428,0,0,4922,0,23796,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,3464,0,7325,0
MASK002.v2.throat.B,1020,0,0,0,0,0,0,0,0,0,0,16,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,27,0,0,3009,0,0,0,4965,0,0,2130,0,11531,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,658,0,2206,0
MASK002.V3.MASK,124,0,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,110,0,0,8,0,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,8,0,25864,0
MASK002.V3.SKIN,12005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6151,0
MASK002.v3.throat,2281,0,0,0,0,7,0,0,0,0,0,24,0,0,7,33,0,0,0,0,0,0,0,0,0,0,0,26,0,0,3164,0,0,0,4562,0,0,1008,0,14993,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,502,0,3195,0
MASK003.V1.MASK,486,0,0,0,0,5,0,0,0,0,0,3,0,10,0,0,0,0,14,0,0,0,91,0,0,0,0,0,51,0,116,0,0,0,180,0,0,32,0,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19513,0
