sample-id	forward-absolute-filepath	reverse-absolute-filepath
MASK005.V2.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V2.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V2.MASK_R2.fastq.gz
MASK011.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V1.SKIN_R2.fastq.gz
MASK004.V2.SKIN.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V2.SKIN.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.V2.SKIN.B_R2.fastq.gz
MASK005.V2.SKIN.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V2.SKIN.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK005.V2.SKIN.B_R2.fastq.gz
EBLANK011	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK011_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/EBLANK011_R2.fastq.gz
MASK003.V2.SKIN.B	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.SKIN.B_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.SKIN.B_R2.fastq.gz
MASK009.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V1.SKIN_R2.fastq.gz
MASK011.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK011.V3.MASK_R2.fastq.gz
MASK013.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK013.v2.throat_R2.fastq.gz
MASKBLANK1	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASKBLANK1_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASKBLANK1_R2.fastq.gz
MASK004.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK004.v3.throat_R2.fastq.gz
MASK012.V1.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V1.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK012.V1.SKIN_R2.fastq.gz
MASK018.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.V3.MASK_R2.fastq.gz
MASK003.v2.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.v2.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.v2.throat_R2.fastq.gz
MASK003.V2.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.V2.SKIN_R2.fastq.gz
MASK007.V3.SKIN	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V3.SKIN_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.V3.SKIN_R2.fastq.gz
MASK006.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK007.v1.throat_R2.fastq.gz
mockdna.2	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/mockdna.2_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/mockdna.2_R2.fastq.gz
MASK018.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK018.v3.throat_R2.fastq.gz
MASK009.V1.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V1.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK009.V1.MASK_R2.fastq.gz
MASK008.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK008.v3.throat_R2.fastq.gz
MASK019.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK019.V3.MASK_R2.fastq.gz
MASK003.v1.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.v1.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK003.v1.throat_R2.fastq.gz
MASK001.v3.throat	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v3.throat_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK001.v3.throat_R2.fastq.gz
MASK010.V3.MASK	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V3.MASK_R1.fastq.gz	/media/lorax/users/cmeren/mask/data/demultiplexed_fastq_gz/MASK010.V3.MASK_R2.fastq.gz
